Date,Close
2023-10-21,
2023-10-22,
2023-10-23,312.3
2023-10-24,310.84
2023-10-25,297.9
2023-10-26,286.78
2023-10-27,295.11
2023-10-28,
2023-10-29,
2023-10-30,301.01
2023-10-31,299.63
2023-11-01,310.15
2023-11-02,309.17
2023-11-03,312.88
2023-11-04,
2023-11-05,
2023-11-06,314.08
2023-11-07,317.08
2023-11-08,318.04
2023-11-09,318.8
2023-11-10,326.98
2023-11-11,
2023-11-12,
2023-11-13,327.39
2023-11-14,334.48
2023-11-15,330.89
2023-11-16,332.37
2023-11-17,333.21
2023-11-18,
2023-11-19,
2023-11-20,338.12
2023-11-21,335.14
2023-11-22,339.63
2023-11-23,
2023-11-24,336.38
2023-11-25,
2023-11-26,
2023-11-27,332.87
2023-11-28,337.14
2023-11-29,330.39
2023-11-30,325.37
2023-12-01,323.05
2023-12-02,
2023-12-03,
2023-12-04,318.27
2023-12-05,316.55
2023-12-06,315.72
2023-12-07,324.81
2023-12-08,330.93
2023-12-09,
2023-12-10,
2023-12-11,323.51
2023-12-12,332.4
2023-12-13,332.91
2023-12-14,331.35
2023-12-15,333.09
2023-12-16,
2023-12-17,
2023-12-18,342.74
2023-12-19,348.45
2023-12-20,347.37
2023-12-21,352.16
2023-12-22,351.46
2023-12-23,
2023-12-24,
2023-12-25,
2023-12-26,352.89
2023-12-27,355.88
2023-12-28,356.36
2023-12-29,352.03
2023-12-30,
2023-12-31,
2024-01-01,
2024-01-02,344.4
2024-01-03,342.59
2024-01-04,345.23
2024-01-05,350.03
2024-01-06,
2024-01-07,
2024-01-08,356.7
2024-01-09,355.48
2024-01-10,368.45
2024-01-11,367.65
2024-01-12,372.45
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,365.46
2024-01-17,366.36
2024-01-18,374.08
2024-01-19,381.36
2024-01-20,
2024-01-21,
2024-01-22,379.7
2024-01-23,383.1
2024-01-24,388.57
2024-01-25,391.03
2024-01-26,391.99
2024-01-27,
2024-01-28,
2024-01-29,398.83
2024-01-30,397.88
2024-01-31,388.01
2024-02-01,392.63
2024-02-02,472.4
2024-02-03,
2024-02-04,
2024-02-05,456.9
2024-02-06,452.24
2024-02-07,467.03
2024-02-08,467.44
2024-02-09,465.56
2024-02-10,
2024-02-11,
2024-02-12,466.34
2024-02-13,457.61
2024-02-14,470.7
2024-02-15,481.39
2024-02-16,470.74
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,469.18
2024-02-21,465.97
2024-02-22,483.99
2024-02-23,481.9
2024-02-24,
2024-02-25,
2024-02-26,479.62
2024-02-27,484.91
2024-02-28,481.89
2024-02-29,487.97
2024-03-01,500.09
2024-03-02,
2024-03-03,
2024-03-04,496.0
2024-03-05,488.06
2024-03-06,493.91
2024-03-07,509.94
2024-03-08,503.72
2024-03-09,
2024-03-10,
2024-03-11,481.46
2024-03-12,497.55
2024-03-13,493.39
2024-03-14,489.67
2024-03-15,481.97
2024-03-16,
2024-03-17,
2024-03-18,494.79
2024-03-19,494.06
2024-03-20,503.3
2024-03-21,505.53
2024-03-22,507.34
2024-03-23,
2024-03-24,
2024-03-25,500.81
2024-03-26,493.71
2024-03-27,491.69
2024-03-28,483.44
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,489.19
2024-04-02,495.18
2024-04-03,504.51
2024-04-04,508.67
2024-04-05,525.02
2024-04-06,
2024-04-07,
2024-04-08,516.96
2024-04-09,514.63
2024-04-10,517.54
2024-04-11,520.86
2024-04-12,509.65
2024-04-13,
2024-04-14,
2024-04-15,498.03
2024-04-16,497.56
2024-04-17,492.0
2024-04-18,499.59
2024-04-19,478.95
2024-04-20,
2024-04-21,
2024-04-22,479.61
2024-04-23,493.92
2024-04-24,491.33
2024-04-25,439.44
2024-04-26,441.34
2024-04-27,
2024-04-28,
2024-04-29,430.72
2024-04-30,428.28
2024-05-01,437.26
2024-05-02,439.74
2024-05-03,449.97
2024-05-04,
2024-05-05,
2024-05-06,463.63
2024-05-07,466.18
2024-05-08,470.52
2024-05-09,473.33
2024-05-10,474.1
2024-05-11,
2024-05-12,
2024-05-13,465.95
2024-05-14,469.77
2024-05-15,479.42
2024-05-16,471.15
2024-05-17,469.83
2024-05-18,
2024-05-19,
2024-05-20,466.78
2024-05-21,462.59
2024-05-22,465.72
2024-05-23,463.73
2024-05-24,476.12
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,477.81
2024-05-29,472.27
2024-05-30,464.99
2024-05-31,464.78
2024-06-01,
2024-06-02,
2024-06-03,475.39
2024-06-04,474.89
2024-06-05,492.88
2024-06-06,491.59
2024-06-07,490.79
2024-06-08,
2024-06-09,
2024-06-10,500.39
2024-06-11,505.24
2024-06-12,506.6
2024-06-13,501.88
2024-06-14,502.44
2024-06-15,
2024-06-16,
2024-06-17,504.9
2024-06-18,497.79
2024-06-19,
2024-06-20,499.99
2024-06-21,493.09
2024-06-22,
2024-06-23,
2024-06-24,497.21
2024-06-25,508.86
2024-06-26,511.37
2024-06-27,517.79
2024-06-28,502.5
2024-06-29,
2024-06-30,
2024-07-01,502.96
2024-07-02,507.76
2024-07-03,508.22
2024-07-04,
2024-07-05,538.07
2024-07-06,
2024-07-07,
2024-07-08,527.51
2024-07-09,528.19
2024-07-10,532.87
2024-07-11,510.95
2024-07-12,497.17
2024-07-13,
2024-07-14,
2024-07-15,494.47
2024-07-16,488.12
2024-07-17,460.41
2024-07-18,474.23
2024-07-19,475.16
2024-07-20,
2024-07-21,
2024-07-22,485.74
2024-07-23,487.02
2024-07-24,459.7
2024-07-25,451.86
2024-07-26,464.11
2024-07-27,
2024-07-28,
2024-07-29,464.12
2024-07-30,461.61
2024-07-31,473.21
2024-08-01,496.04
2024-08-02,486.47
2024-08-03,
2024-08-04,
2024-08-05,474.11
2024-08-06,492.4
2024-08-07,487.25
2024-08-08,507.89
2024-08-09,516.0
2024-08-10,
2024-08-11,
2024-08-12,514.19
2024-08-13,526.74
2024-08-14,524.96
2024-08-15,535.5
2024-08-16,525.62
2024-08-17,
2024-08-18,
2024-08-19,527.47
2024-08-20,524.93
2024-08-21,533.33
2024-08-22,530.11
2024-08-23,526.2
2024-08-24,
2024-08-25,
2024-08-26,519.34
2024-08-27,517.33
2024-08-28,515.02
2024-08-29,516.45
2024-08-30,519.53
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,510.01
2024-09-04,510.99
2024-09-05,515.1
2024-09-06,498.56
2024-09-07,
2024-09-08,
2024-09-09,503.07
2024-09-10,503.07
2024-09-11,510.08
2024-09-12,523.81
2024-09-13,522.83
2024-09-14,
2024-09-15,
2024-09-16,531.97
2024-09-17,535.0
2024-09-18,536.63
2024-09-19,557.72
2024-09-20,559.97
2024-09-21,
2024-09-22,
2024-09-23,563.02
2024-09-24,561.94
2024-09-25,566.91
2024-09-26,566.44
2024-09-27,565.96
2024-09-28,
2024-09-29,
2024-09-30,571.03
2024-10-01,575.05
2024-10-02,571.4
2024-10-03,581.34
2024-10-04,594.47
2024-10-05,
2024-10-06,
2024-10-07,583.34
2024-10-08,591.43
2024-10-09,589.06
2024-10-10,582.39
2024-10-11,588.5
2024-10-12,
2024-10-13,
2024-10-14,588.97
2024-10-15,584.83
2024-10-16,575.37
2024-10-17,575.51
2024-10-18,575.05
2024-10-19,
2024-10-20,
2024-10-21,573.74
2024-10-22,580.58
2024-10-23,562.3
2024-10-24,566.38
2024-10-25,571.84
2024-10-26,
2024-10-27,
2024-10-28,576.74
2024-10-29,591.82
2024-10-30,590.34
2024-10-31,566.18
2024-11-01,565.76
2024-11-02,
2024-11-03,
2024-11-04,559.3
2024-11-05,571.02
2024-11-06,570.64
2024-11-07,590.24
2024-11-08,587.89
2024-11-09,
2024-11-10,
2024-11-11,581.73
2024-11-12,583.38
2024-11-13,578.57
2024-11-14,575.74
2024-11-15,552.72
2024-11-16,
2024-11-17,
2024-11-18,553.04
2024-11-19,559.71
2024-11-20,564.13
2024-11-21,561.7
2024-11-22,557.76
2024-11-23,
2024-11-24,
2024-11-25,563.72
2024-11-26,572.13
2024-11-27,567.8
2024-11-28,
2024-11-29,572.91
2024-11-30,
2024-12-01,
2024-12-02,591.37
2024-12-03,612.14
2024-12-04,612.27
2024-12-05,607.43
2024-12-06,622.23
2024-12-07,
2024-12-08,
2024-12-09,612.06
2024-12-10,617.8
2024-12-11,631.12
2024-12-12,629.24
2024-12-13,618.82
2024-12-14,
2024-12-15,
2024-12-16,623.21
2024-12-17,618.41
2024-12-18,596.2
2024-12-19,594.58
2024-12-20,584.28
2024-12-21,
2024-12-22,
2024-12-23,598.86
2024-12-24,606.74
2024-12-25,
2024-12-26,602.35
2024-12-27,598.82
2024-12-28,
2024-12-29,
2024-12-30,590.26
2024-12-31,584.54
2025-01-01,
2025-01-02,598.25
2025-01-03,603.63
2025-01-04,
2025-01-05,
2025-01-06,629.16
2025-01-07,616.87
2025-01-08,609.71
2025-01-09,
2025-01-10,614.84
2025-01-11,
2025-01-12,
2025-01-13,607.32
2025-01-14,593.27
2025-01-15,616.1
2025-01-16,610.29
2025-01-17,611.75
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,615.44
2025-01-22,622.47
2025-01-23,635.4
2025-01-24,646.42
2025-01-25,
2025-01-26,
2025-01-27,658.79
2025-01-28,673.21
2025-01-29,675.37
2025-01-30,685.86
2025-01-31,688.04
2025-02-01,
2025-02-02,
2025-02-03,696.3
2025-02-04,703.02
2025-02-05,703.7
2025-02-06,710.81
2025-02-07,713.34
2025-02-08,
2025-02-09,
2025-02-10,716.21
2025-02-11,718.61
2025-02-12,724.18
2025-02-13,727.35
2025-02-14,735.45
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,715.18
2025-02-19,702.6
2025-02-20,693.69
2025-02-21,682.42
2025-02-22,
2025-02-23,
2025-02-24,667.02
2025-02-25,656.41
2025-02-26,672.58
2025-02-27,657.15
2025-02-28,667.09
2025-03-01,
2025-03-02,
2025-03-03,653.96
2025-03-04,638.94
2025-03-05,655.38
2025-03-06,626.89
2025-03-07,624.62
2025-03-08,
2025-03-09,
2025-03-10,597.0
2025-03-11,604.71
2025-03-12,618.53
2025-03-13,589.66
2025-03-14,607.13
2025-03-15,
2025-03-16,
2025-03-17,604.43
2025-03-18,581.91
2025-03-19,583.61
2025-03-20,585.55
2025-03-21,595.79
2025-03-22,
2025-03-23,
2025-03-24,618.37
2025-03-25,625.83
2025-03-26,610.51
2025-03-27,602.12
2025-03-28,576.3
2025-03-29,
2025-03-30,
2025-03-31,575.92
2025-04-01,585.55
2025-04-02,583.48
2025-04-03,531.21
2025-04-04,504.34
2025-04-05,
2025-04-06,
2025-04-07,515.85
2025-04-08,510.06
2025-04-09,585.32
2025-04-10,545.87
2025-04-11,543.15
2025-04-12,
2025-04-13,
2025-04-14,531.07
2025-04-15,521.12
2025-04-16,501.92
2025-04-17,501.09
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,484.29
2025-04-22,499.9
2025-04-23,519.87
2025-04-24,532.74
2025-04-25,546.85
2025-04-26,
2025-04-27,
2025-04-28,549.32
2025-04-29,554.01
2025-04-30,548.58
2025-05-01,571.77
2025-05-02,596.56
2025-05-03,
2025-05-04,
2025-05-05,598.81
2025-05-06,586.86
2025-05-07,596.35
2025-05-08,597.55
2025-05-09,592.03
2025-05-10,
2025-05-11,
2025-05-12,638.94
2025-05-13,655.53
2025-05-14,658.85
2025-05-15,643.38
2025-05-16,639.85
2025-05-17,
2025-05-18,
2025-05-19,639.94
2025-05-20,636.61
2025-05-21,635.01
2025-05-22,636.08
2025-05-23,626.58
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,641.83
2025-05-28,643.09
2025-05-29,644.55
2025-05-30,646.99
2025-05-31,
2025-06-01,
2025-06-02,670.38
2025-06-03,666.34
2025-06-04,687.42
2025-06-05,684.09
2025-06-06,697.17
2025-06-07,
2025-06-08,
2025-06-09,693.53
2025-06-10,701.86
2025-06-11,693.61
2025-06-12,692.83
2025-06-13,682.34
2025-06-14,
2025-06-15,
2025-06-16,702.12
2025-06-17,697.23
2025-06-18,695.77
2025-06-19,
2025-06-20,691.16
